Origin,Destination,Date,Sender's Name,Sender City,Sender State,Total Pieces,Actual Wt,Volumetric Wt,Chargeable Wt,Paperwork,Sender Date,Recipient Name,Recipient City,Receiver State,Value Added Services,Consignment No,Expiry Date,Booking Code,Receiver Name,Receive Date,Tariff,VAS Charges,Total Amount,Mode,Risk Surcharge,Mode of Payment,Nature of Consignment
Bhubaneswar,Shimla,19-06-2025,Menon-Panchal,Bhubaneswar,Odisha,5,7.38,7.95,7.95,Yes,19-06-2025,Bhavsar and Sons,Shimla,Himachal Pradesh,COD,DTDC56199441,19-07-2025,BR211,Bhavsar and Sons,22-06-2025,617.18,109.72,726.9,Express,Carrier,Card,Dox
Chandigarh,Bangalore,10-06-2025,"Sarma, Mistry and Gandhi",Chandigarh,Chandigarh,4,7.47,8.52,8.52,Yes,10-06-2025,Ojasvi Datta,Bangalore,Karnataka,COD,DTDC06015434,10-07-2025,BR536,Ojasvi Datta,14-06-2025,398.36,58.8,457.16,Surface,Carrier,Cash,Dox
Vizag,Pune,01-07-2025,Aradhana Prabhakar,Vizag,Andhra Pradesh,5,10.46,12.55,12.55,No,01-07-2025,Dayita Trivedi,Pune,Maharashtra,COD,DTDC57600897,31-07-2025,BR581,Dayita Trivedi,05-07-2025,875.8,149.04,1024.84,Air Cargo,Carrier,Card,Non-Dox
Vijayawada,Indore,05-07-2025,Reyansh Wagle,Vijayawada,Andhra Pradesh,1,6.66,7.47,7.47,No,05-07-2025,Daniel Bhargava,Indore,Madhya Pradesh,COD,DTDC94862907,04-08-2025,BR260,Daniel Bhargava,10-07-2025,309.08,81.13,390.21,Surface,Carrier,Card,Non-Dox
Meerut,Dehradun,06-06-2025,Tella Group,Meerut,Uttar Pradesh,2,4.46,6.44,6.44,No,06-06-2025,Tata PLC,Dehradun,Uttarakhand,COD,DTDC03696938,06-07-2025,BR030,Tata PLC,08-06-2025,389.33,130.99,520.32,Air Cargo,Carrier,Card,Dox
Nashik,Hyderabad,10-06-2025,Shaurya Raghavan,Nashik,Maharashtra,1,4.45,5.2,5.2,Yes,10-06-2025,"Halder, Gandhi and Bala",Hyderabad,Telangana,COD,DTDC63319744,10-07-2025,BR170,"Halder, Gandhi and Bala",12-06-2025,351.55,129.89,481.44,Air Cargo,Carrier,Cash,Non-Dox
Srinagar,Kolkata,03-07-2025,Pau Group,Srinagar,Jammu & Kashmir,3,10.96,13.44,13.44,Yes,03-07-2025,Manne Inc,Kolkata,West Bengal,None,DTDC17041960,02-08-2025,BR636,Manne Inc,08-07-2025,617.59,0,617.59,Surface,Carrier,Cash,Non-Dox
Hyderabad,Ludhiana,25-06-2025,Hans Inc,Hyderabad,Telangana,1,3.38,4.98,4.98,Yes,25-06-2025,Wakeeta Ghosh,Ludhiana,Punjab,COD,DTDC24982814,25-07-2025,BR906,Wakeeta Ghosh,27-06-2025,239.9,111.88,351.78,Surface,Carrier,Cash,Dox
Hyderabad,Agra,26-06-2025,Neha Sarkar,Hyderabad,Telangana,2,11.87,14.5,14.5,No,26-06-2025,"Sodhi, Rajan and Oza",Agra,Uttar Pradesh,COD,DTDC26628405,26-07-2025,BR496,"Sodhi, Rajan and Oza",28-06-2025,607.62,25.08,632.7,Surface,Carrier,Cash,Non-Dox
Ahmedabad,Jaipur,27-06-2025,"Handa, Char and Bava",Ahmedabad,Gujarat,4,9.65,10.09,10.09,Yes,27-06-2025,Mitali Bhatti,Jaipur,Rajasthan,COD,DTDC94964221,27-07-2025,BR792,Mitali Bhatti,29-06-2025,436.95,96.81,533.76,Surface,Carrier,Cash,Non-Dox
Kolkata,Pune,21-06-2025,"Goyal, Kapoor and Lata",Kolkata,West Bengal,1,3.52,4.12,4.12,No,21-06-2025,Qarin Rana,Pune,Maharashtra,Express,DTDC64645225,21-07-2025,BR089,Qarin Rana,24-06-2025,353.75,137.23,490.98,Express,Carrier,Card,Dox
Amritsar,Nagpur,12-06-2025,Mani-Narang,Amritsar,Punjab,4,2.44,2.73,2.73,No,12-06-2025,Dev Wali,Nagpur,Maharashtra,COD,DTDC33550724,12-07-2025,BR255,Dev Wali,15-06-2025,170.68,42.33,213.01,Air Cargo,Carrier,Card,Dox
Surat,Vijayawada,30-06-2025,Vyanjana Bhalla,Surat,Gujarat,2,1.14,2.86,2.86,No,30-06-2025,Goyal-Patla,Vijayawada,Andhra Pradesh,COD,DTDC22139482,30-07-2025,BR641,Goyal-Patla,02-07-2025,220.74,20.64,241.38,Express,Carrier,Wallet,Non-Dox
Ranchi,Mumbai,08-06-2025,Bhavsar and Sons,Ranchi,Jharkhand,3,0.78,2.68,2.68,Yes,08-06-2025,Sem PLC,Mumbai,Maharashtra,COD,DTDC25940283,08-07-2025,BR494,Sem PLC,09-06-2025,109.63,130.68,240.31,Surface,Carrier,Cash,Non-Dox
Ranchi,Varanasi,25-06-2025,Eesha Devi,Ranchi,Jharkhand,1,4,5.46,5.46,Yes,25-06-2025,Rushil Taneja,Varanasi,Uttar Pradesh,COD,DTDC07415528,25-07-2025,BR283,Rushil Taneja,28-06-2025,222.25,69.69,291.94,Surface,Carrier,Card,Non-Dox
Ludhiana,Kolkata,02-07-2025,Manne-Shah,Ludhiana,Punjab,1,0.9,2.01,2.01,Yes,02-07-2025,"Dar, Tiwari and Chaudhuri",Kolkata,West Bengal,Insurance,DTDC25073268,01-08-2025,BR580,"Dar, Tiwari and Chaudhuri",04-07-2025,97.96,44.81,142.77,Surface,Carrier,Cash,Non-Dox
Surat,Srinagar,11-06-2025,Divya Bhagat,Surat,Gujarat,1,0.61,0.71,0.71,No,11-06-2025,Udyati Agarwal,Srinagar,Jammu & Kashmir,COD,DTDC62601496,11-07-2025,BR464,Udyati Agarwal,13-06-2025,66.18,25.33,91.51,Express,Carrier,Card,Non-Dox
Nagpur,Vijayawada,19-06-2025,"Pai, Goel and Murthy",Nagpur,Maharashtra,3,9.47,10.22,10.22,No,19-06-2025,Finn Ray,Vijayawada,Andhra Pradesh,COD,DTDC42485497,19-07-2025,BR917,Finn Ray,23-06-2025,693.51,61.98,755.49,Air Cargo,Carrier,Card,Dox
Vijayawada,Jaipur,11-06-2025,Chad-Dugar,Vijayawada,Andhra Pradesh,3,8.57,9.78,9.78,Yes,11-06-2025,Wakeeta Tailor,Jaipur,Rajasthan,COD,DTDC62560767,11-07-2025,BR148,Wakeeta Tailor,14-06-2025,412.38,26.06,438.44,Surface,Carrier,Card,Non-Dox
Guwahati,Srinagar,25-06-2025,"Pant, Korpal and Radhakrishnan",Guwahati,Assam,1,9.37,10.91,10.91,Yes,25-06-2025,Mohini Bhavsar,Srinagar,Jammu & Kashmir,None,DTDC41166053,25-07-2025,BR430,Mohini Bhavsar,27-06-2025,994.76,0,994.76,Express,Carrier,Card,Dox
Jaipur,Pune,29-06-2025,Sidhu PLC,Jaipur,Rajasthan,4,5.01,6.21,6.21,No,29-06-2025,Sehgal-Sibal,Pune,Maharashtra,COD,DTDC50761199,29-07-2025,BR633,Sehgal-Sibal,01-07-2025,297.58,84.66,382.24,Surface,Carrier,Cash,Dox
Bhubaneswar,Mumbai,19-06-2025,Sarraf-Deo,Bhubaneswar,Odisha,4,6.41,6.63,6.63,No,19-06-2025,Dayamai Mandal,Mumbai,Maharashtra,COD,DTDC37898668,19-07-2025,BR405,Dayamai Mandal,23-06-2025,431.74,96.02,527.76,Air Cargo,Carrier,Cash,Non-Dox
Guwahati,Aurangabad,02-07-2025,Wable-Zacharia,Guwahati,Assam,3,3.99,4.48,4.48,Yes,02-07-2025,Lad-Natt,Aurangabad,Maharashtra,COD,DTDC84425561,01-08-2025,BR173,Lad-Natt,03-07-2025,220.67,131.03,351.7,Surface,Carrier,Cash,Non-Dox
Patna,Srinagar,29-06-2025,Veda Prabhakar,Patna,Bihar,3,4.44,6.06,6.06,No,29-06-2025,Yashasvi Sachdeva,Srinagar,Jammu & Kashmir,None,DTDC28372183,29-07-2025,BR034,Yashasvi Sachdeva,04-07-2025,432.21,0,432.21,Air Cargo,Carrier,Cash,Dox
Mumbai,Thiruvananthapuram,04-07-2025,Niharika Sharaf,Mumbai,Maharashtra,1,4.46,5.57,5.57,Yes,04-07-2025,Ben and Sons,Thiruvananthapuram,Kerala,COD,DTDC42705936,03-08-2025,BR978,Ben and Sons,06-07-2025,433.27,43.98,477.25,Express,Carrier,Card,Non-Dox
Bhopal,Amritsar,29-06-2025,Oliver Virk,Bhopal,Madhya Pradesh,4,0.51,3.1,3.1,No,29-06-2025,Luthra-Kurian,Amritsar,Punjab,COD,DTDC42357230,29-07-2025,BR350,Luthra-Kurian,04-07-2025,286.71,83.22,369.93,Express,Carrier,Wallet,Non-Dox
Vizag,Surat,11-06-2025,"Dube, Sarna and Virk",Vizag,Andhra Pradesh,1,2.21,2.69,2.69,Yes,11-06-2025,Neelima Behl,Surat,Gujarat,COD,DTDC33830162,11-07-2025,BR386,Neelima Behl,15-06-2025,123.74,101.23,224.97,Surface,Carrier,Cash,Dox
Kochi,Chandigarh,01-07-2025,Ubika Srinivas,Kochi,Kerala,2,9.86,11.98,11.98,Yes,01-07-2025,Yashasvi Koshy,Chandigarh,Chandigarh,COD,DTDC59947042,31-07-2025,BR250,Yashasvi Koshy,02-07-2025,945.72,106.5,1052.22,Express,Carrier,Cash,Dox
Raipur,Patna,12-06-2025,Kara-Sarraf,Raipur,Chhattisgarh,5,7.33,9.15,9.15,No,12-06-2025,Sanaya Chacko,Patna,Bihar,COD,DTDC18857819,12-07-2025,BR519,Sanaya Chacko,15-06-2025,637.82,63.56,701.38,Air Cargo,Carrier,Card,Dox
Ludhiana,Dehradun,26-06-2025,Sen Ltd,Ludhiana,Punjab,2,4.79,7.53,7.53,Yes,26-06-2025,Wali-Ravel,Dehradun,Uttarakhand,COD,DTDC14428824,26-07-2025,BR429,Wali-Ravel,29-06-2025,335.53,119.93,455.46,Surface,Carrier,Card,Dox
Bhopal,Bhubaneswar,08-06-2025,Chokshi-Oommen,Bhopal,Madhya Pradesh,1,8.22,10.26,10.26,Yes,08-06-2025,Ojasvi Gaba,Bhubaneswar,Odisha,COD,DTDC20069729,08-07-2025,BR369,Ojasvi Gaba,12-06-2025,692.86,49.75,742.61,Air Cargo,Carrier,Cash,Dox
Jaipur,Indore,13-06-2025,"Sodhi, Som and Iyengar",Jaipur,Rajasthan,5,10.24,12.17,12.17,No,13-06-2025,Ryan Chada,Indore,Madhya Pradesh,COD,DTDC66024604,13-07-2025,BR659,Ryan Chada,15-06-2025,792.47,104.15,896.62,Air Cargo,Carrier,Cash,Non-Dox
Jaipur,Guwahati,05-07-2025,Muni PLC,Jaipur,Rajasthan,4,0.38,2.88,2.88,No,05-07-2025,"Chakraborty, Aurora and Parmer",Guwahati,Assam,COD,DTDC57188170,04-08-2025,BR263,"Chakraborty, Aurora and Parmer",09-07-2025,141.28,139.75,281.03,Surface,Carrier,Cash,Non-Dox
Dehradun,Raipur,11-06-2025,Jagdish Kalita,Dehradun,Uttarakhand,2,7.96,10.56,10.56,No,11-06-2025,Vedhika Parmer,Raipur,Chhattisgarh,COD,DTDC42741788,11-07-2025,BR620,Vedhika Parmer,13-06-2025,492.37,32.14,524.51,Surface,Carrier,Cash,Non-Dox
Ranchi,Delhi,22-06-2025,Anvi Chhabra,Ranchi,Jharkhand,2,11.16,11.91,11.91,Yes,22-06-2025,Chandra PLC,Delhi,Delhi,Insurance,DTDC07683264,22-07-2025,BR087,Chandra PLC,23-06-2025,485.26,119.25,604.51,Surface,Carrier,Cash,Non-Dox
Vizag,Surat,12-06-2025,Nigam-Sidhu,Vizag,Andhra Pradesh,5,9.03,11.69,11.69,Yes,12-06-2025,Seshadri Ltd,Surat,Gujarat,COD,DTDC52651091,12-07-2025,BR851,Seshadri Ltd,16-06-2025,543.22,85.3,628.52,Surface,Carrier,Card,Dox
Bhopal,Ludhiana,26-06-2025,Yamini Yohannan,Bhopal,Madhya Pradesh,1,10.81,11.55,11.55,No,26-06-2025,Abeer Soman,Ludhiana,Punjab,COD,DTDC66515794,26-07-2025,BR120,Abeer Soman,01-07-2025,530.2,54.37,584.57,Surface,Carrier,Cash,Dox
Meerut,Agra,05-07-2025,Morar PLC,Meerut,Uttar Pradesh,2,10.21,11.07,11.07,No,05-07-2025,Veda Mody,Agra,Uttar Pradesh,COD,DTDC77991923,04-08-2025,BR873,Veda Mody,07-07-2025,502.8,117.77,620.57,Surface,Carrier,Cash,Dox
Hyderabad,Ranchi,14-06-2025,Roy-Kamdar,Hyderabad,Telangana,1,7.33,7.85,7.85,Yes,14-06-2025,Charvi Sachar,Ranchi,Jharkhand,COD,DTDC45083789,14-07-2025,BR684,Charvi Sachar,18-06-2025,508.31,112.69,621,Air Cargo,Carrier,Card,Dox
Nagpur,Surat,09-06-2025,"Dasgupta, Varughese and Lanka",Nagpur,Maharashtra,1,1.72,3.52,3.52,No,09-06-2025,"Varkey, Sule and Bobal",Surat,Gujarat,Insurance,DTDC23993995,09-07-2025,BR312,"Varkey, Sule and Bobal",11-06-2025,153.84,104.58,258.42,Surface,Carrier,Card,Non-Dox
Indore,Nagpur,12-06-2025,Rayaan Raghavan,Indore,Madhya Pradesh,3,9.73,11.58,11.58,Yes,12-06-2025,"Menon, More and Sule",Nagpur,Maharashtra,COD,DTDC81324095,12-07-2025,BR538,"Menon, More and Sule",15-06-2025,900.97,49.33,950.3,Express,Carrier,Cash,Dox
Ludhiana,Bangalore,15-06-2025,"Agarwal, Raman and Rai",Ludhiana,Punjab,5,2.99,5.74,5.74,No,15-06-2025,Arya Inc,Bangalore,Karnataka,None,DTDC50937089,15-07-2025,BR978,Arya Inc,16-06-2025,395,0,395,Air Cargo,Carrier,Card,Dox
Vijayawada,Nagpur,30-06-2025,"Sibal, Gade and Manda",Vijayawada,Andhra Pradesh,4,6.27,7.78,7.78,Yes,30-06-2025,Jeremiah Palla,Nagpur,Maharashtra,COD,DTDC32789690,30-07-2025,BR630,Jeremiah Palla,03-07-2025,610.84,77.68,688.52,Express,Carrier,Cash,Non-Dox
Guwahati,Chennai,21-06-2025,"Nigam, Verma and Gala",Guwahati,Assam,3,7.59,9.28,9.28,No,21-06-2025,Jagdish Munshi,Chennai,Tamil Nadu,Insurance,DTDC23536369,21-07-2025,BR513,Jagdish Munshi,24-06-2025,382.98,143.17,526.15,Surface,Carrier,Cash,Dox
Jaipur,Patna,15-06-2025,"Bhargava, Randhawa and Kade",Jaipur,Rajasthan,1,2.01,3.73,3.73,Yes,15-06-2025,Peter Rau,Patna,Bihar,COD,DTDC50910669,15-07-2025,BR347,Peter Rau,20-06-2025,164.55,144.28,308.83,Surface,Carrier,Card,Non-Dox
Srinagar,Indore,03-07-2025,Gopal Memon,Srinagar,Jammu & Kashmir,1,2.01,2.9,2.9,Yes,03-07-2025,Ubika Nair,Indore,Madhya Pradesh,COD,DTDC96084109,02-08-2025,BR362,Ubika Nair,04-07-2025,121.79,86.4,208.19,Surface,Carrier,Cash,Non-Dox
Mumbai,Srinagar,12-06-2025,Mody Group,Mumbai,Maharashtra,3,8.79,9.22,9.22,Yes,12-06-2025,Darika Apte,Srinagar,Jammu & Kashmir,None,DTDC73589137,12-07-2025,BR861,Darika Apte,14-06-2025,790.68,0,790.68,Express,Carrier,Cash,Non-Dox
Vizag,Raipur,22-06-2025,Kale PLC,Vizag,Andhra Pradesh,2,2.81,3.27,3.27,Yes,22-06-2025,"Lal, Oza and Sunder",Raipur,Chhattisgarh,COD,DTDC92312623,22-07-2025,BR956,"Lal, Oza and Sunder",23-06-2025,135.01,103.17,238.18,Surface,Carrier,Card,Dox
Vizag,Lucknow,02-07-2025,Subramanian PLC,Vizag,Andhra Pradesh,5,1.99,3.61,3.61,No,02-07-2025,Kamdar Group,Lucknow,Uttar Pradesh,Insurance,DTDC36209885,01-08-2025,BR525,Kamdar Group,06-07-2025,155.37,26.26,181.63,Surface,Carrier,Cash,Dox
Chennai,Hyderabad,09-06-2025,"Sodhi, Bakshi and Patla",Chennai,Tamil Nadu,2,5.25,6.87,6.87,No,09-06-2025,Chakradhar Shan,Hyderabad,Telangana,COD,DTDC89004364,09-07-2025,BR774,Chakradhar Shan,14-06-2025,319.1,116.7,435.8,Surface,Carrier,Cash,Non-Dox
Shimla,Ranchi,06-06-2025,Falguni Verma,Shimla,Himachal Pradesh,5,3,5.89,5.89,No,06-06-2025,Krishna Mannan,Ranchi,Jharkhand,None,DTDC92266430,06-07-2025,BR164,Krishna Mannan,10-06-2025,255.35,0,255.35,Surface,Carrier,Card,Dox
Jamshedpur,Guwahati,11-06-2025,"Krish, Doshi and Sahota",Jamshedpur,Jharkhand,5,9.02,11.17,11.17,No,11-06-2025,Champak Gill,Guwahati,Assam,COD,DTDC70665318,11-07-2025,BR138,Champak Gill,14-06-2025,733.66,70.65,804.31,Air Cargo,Carrier,Card,Non-Dox
Ludhiana,Nagpur,25-06-2025,Chandra-Shroff,Ludhiana,Punjab,5,5.59,8.49,8.49,Yes,25-06-2025,Anthony Krishnamurthy,Nagpur,Maharashtra,None,DTDC97838095,25-07-2025,BR020,Anthony Krishnamurthy,27-06-2025,359.06,0,359.06,Surface,Carrier,Cash,Dox
Vizag,Raipur,19-06-2025,Yashawini Dave,Vizag,Andhra Pradesh,4,4.04,5.78,5.78,No,19-06-2025,Aarnav Dugar,Raipur,Chhattisgarh,Express,DTDC88673991,19-07-2025,BR272,Aarnav Dugar,24-06-2025,261.15,44.74,305.89,Surface,Carrier,Card,Non-Dox
Mumbai,Varanasi,06-06-2025,Palla Group,Mumbai,Maharashtra,2,4.27,6.57,6.57,Yes,06-06-2025,Chatura Nadkarni,Varanasi,Uttar Pradesh,COD,DTDC70963284,06-07-2025,BR134,Chatura Nadkarni,09-06-2025,295.46,141.83,437.29,Surface,Carrier,Card,Dox
Coimbatore,Lucknow,08-06-2025,Devika Naidu,Coimbatore,Tamil Nadu,2,1.17,2.31,2.31,No,08-06-2025,"Khurana, Kala and Mand",Lucknow,Uttar Pradesh,COD,DTDC68447612,08-07-2025,BR200,"Khurana, Kala and Mand",11-06-2025,94.92,136.71,231.63,Surface,Carrier,Cash,Dox
Amritsar,Srinagar,08-06-2025,Ekbal Lall,Amritsar,Punjab,4,1.24,1.39,1.39,No,08-06-2025,Toor-Sethi,Srinagar,Jammu & Kashmir,COD,DTDC69102520,08-07-2025,BR878,Toor-Sethi,12-06-2025,124.23,85.33,209.56,Express,Carrier,Cash,Non-Dox
Vijayawada,Aurangabad,06-06-2025,Luthra PLC,Vijayawada,Andhra Pradesh,3,0.47,0.81,0.81,No,06-06-2025,Bava-Varty,Aurangabad,Maharashtra,COD,DTDC42549190,06-07-2025,BR457,Bava-Varty,07-06-2025,36.11,119.89,156,Surface,Carrier,Cash,Dox
Mumbai,Nagpur,23-06-2025,Yadavi Parikh,Mumbai,Maharashtra,3,9.36,10.23,10.23,Yes,23-06-2025,Fariq Wali,Nagpur,Maharashtra,COD,DTDC12084727,23-07-2025,BR857,Fariq Wali,25-06-2025,441.68,129.75,571.43,Surface,Carrier,Wallet,Dox
Indore,Srinagar,09-06-2025,Bhavna Madan,Indore,Madhya Pradesh,3,5.71,7.16,7.16,No,09-06-2025,Nagar-Murthy,Srinagar,Jammu & Kashmir,COD,DTDC32853991,09-07-2025,BR018,Nagar-Murthy,12-06-2025,432.74,88.08,520.82,Air Cargo,Carrier,Card,Dox
Nagpur,Guwahati,27-06-2025,Wazir Kaur,Nagpur,Maharashtra,4,6.83,9.58,9.58,Yes,27-06-2025,Kashyap Ltd,Guwahati,Assam,None,DTDC20208290,27-07-2025,BR618,Kashyap Ltd,01-07-2025,388.99,0,388.99,Surface,Carrier,Card,Non-Dox
Kolkata,Thiruvananthapuram,12-06-2025,Krishna Natt,Kolkata,West Bengal,2,6.97,7.63,7.63,Yes,12-06-2025,Lipika Morar,Thiruvananthapuram,Kerala,COD,DTDC08168241,12-07-2025,BR751,Lipika Morar,15-06-2025,341.36,25.98,367.34,Surface,Carrier,Cash,Dox
Ludhiana,Srinagar,07-06-2025,Tarak Sule,Ludhiana,Punjab,3,3.58,3.92,3.92,Yes,07-06-2025,Grover-Lad,Srinagar,Jammu & Kashmir,None,DTDC95977634,07-07-2025,BR226,Grover-Lad,10-06-2025,176.88,0,176.88,Surface,Carrier,Cash,Dox
Jamshedpur,Coimbatore,08-06-2025,Hemang Sridhar,Jamshedpur,Jharkhand,3,7.5,9.15,9.15,Yes,08-06-2025,Harshil Dugar,Coimbatore,Tamil Nadu,Insurance,DTDC18048606,08-07-2025,BR990,Harshil Dugar,13-06-2025,612.71,66.01,678.72,Air Cargo,Carrier,Cash,Non-Dox
Patna,Shimla,23-06-2025,Seshadri-Lall,Patna,Bihar,5,3.56,3.96,3.96,Yes,23-06-2025,Saraf and Sons,Shimla,Himachal Pradesh,Insurance,DTDC15408476,23-07-2025,BR839,Saraf and Sons,27-06-2025,184.48,85.23,269.71,Surface,Carrier,Card,Non-Dox
Meerut,Vizag,01-07-2025,"Viswanathan, Handa and Sarma",Meerut,Uttar Pradesh,3,7.94,9.28,9.28,No,01-07-2025,Luthra PLC,Vizag,Andhra Pradesh,COD,DTDC21334246,31-07-2025,BR674,Luthra PLC,02-07-2025,617.88,106.64,724.52,Air Cargo,Carrier,Cash,Dox
Kochi,Dehradun,13-06-2025,"Mangat, Gill and Mahajan",Kochi,Kerala,5,0.48,1.52,1.52,Yes,13-06-2025,Nazareth-Brahmbhatt,Dehradun,Uttarakhand,None,DTDC80189276,13-07-2025,BR024,Nazareth-Brahmbhatt,16-06-2025,66.75,0,66.75,Surface,Carrier,Card,Non-Dox
Aurangabad,Nashik,27-06-2025,Dugar-Buch,Aurangabad,Maharashtra,3,3.27,4.34,4.34,Yes,27-06-2025,Unni Parmer,Nashik,Maharashtra,None,DTDC30450763,27-07-2025,BR768,Unni Parmer,28-06-2025,177.39,0,177.39,Surface,Carrier,Cash,Non-Dox
Chandigarh,Shimla,11-06-2025,Andra and Sons,Chandigarh,Chandigarh,4,11.36,13.3,13.3,No,11-06-2025,"Warrior, Palan and Ramaswamy",Shimla,Himachal Pradesh,Insurance,DTDC62199286,11-07-2025,BR384,"Warrior, Palan and Ramaswamy",12-06-2025,790.33,52.39,842.72,Air Cargo,Carrier,Cash,Dox
Bangalore,Ludhiana,17-06-2025,"Jain, Borra and Bawa",Bangalore,Karnataka,2,7.39,9.54,9.54,No,17-06-2025,"Ramakrishnan, Yogi and Deo",Ludhiana,Punjab,COD,DTDC82182130,17-07-2025,BR858,"Ramakrishnan, Yogi and Deo",19-06-2025,632.18,101.56,733.74,Air Cargo,Carrier,Cash,Dox
Chennai,Bangalore,03-07-2025,Banik Group,Chennai,Tamil Nadu,5,6.32,8.12,8.12,No,03-07-2025,Unnati Palla,Bangalore,Karnataka,COD,DTDC65580772,02-08-2025,BR746,Unnati Palla,05-07-2025,742.84,97.71,840.55,Express,Carrier,Cash,Dox
Coimbatore,Bhubaneswar,20-06-2025,Patel-Roy,Coimbatore,Tamil Nadu,4,3.76,5.35,5.35,Yes,20-06-2025,"Vyas, Balay and Bawa",Bhubaneswar,Odisha,None,DTDC62088119,20-07-2025,BR978,"Vyas, Balay and Bawa",24-06-2025,222.31,0,222.31,Surface,Carrier,Card,Non-Dox
Delhi,Kochi,25-06-2025,Deshmukh-Korpal,Delhi,Delhi,5,5.43,7.52,7.52,Yes,25-06-2025,Libni Tata,Kochi,Kerala,None,DTDC15259666,25-07-2025,BR302,Libni Tata,29-06-2025,330.64,0,330.64,Surface,Carrier,Card,Non-Dox
Ranchi,Guwahati,18-06-2025,Barman Ltd,Ranchi,Jharkhand,1,5.81,6.43,6.43,No,18-06-2025,Ekani Krish,Guwahati,Assam,Express,DTDC32510687,18-07-2025,BR199,Ekani Krish,19-06-2025,507.51,37.58,545.09,Express,Carrier,Cash,Non-Dox
Kolkata,Delhi,06-06-2025,"Narayan, Sarin and Minhas",Kolkata,West Bengal,4,2.9,4.48,4.48,No,06-06-2025,Hema Karpe,Delhi,Delhi,None,DTDC88316029,06-07-2025,BR194,Hema Karpe,11-06-2025,210.04,0,210.04,Surface,Carrier,Cash,Dox
